pixel,gal_lon,gal_lat,weight,str_used
0,61.182686,-11.07489,0.32889962,1
1,63.731583,-11.330629,1.0050696,1
2,59.82832,-8.842629,0.5662519,1
3,62.99902,-8.825374,0.42628726,1
4,65.06563,-10.87419,0.21777256,1
5,69.33622,-12.284266,0.2876941,1
6,65.52773,-8.801253,0.8502026,1
7,66.95183,-8.316529,0.17449114,1
8,59.092663,-6.294101,0.72177064,1
9,61.895866,-6.388381,0.65187,1
10,58.089657,-3.7973356,0.60630584,1
11,61.276062,-3.9269369,0.6834138,1
12,65.105415,-6.6712174,0.45085996,1
13,67.34067,-6.3160686,0.8290865,1
14,63.91097,-3.9599524,0.6784283,1
15,67.165924,-4.3831673,0.4805632,1
16,71.45478,-12.900482,0.037918366,1
17,72.68808,-12.063174,0.22576395,1
18,70.79812,-9.485298,0.20947734,1
19,72.76944,-10.030886,0.1587692,1
20,75.623825,-12.6102705,0.35455632,1
21,78.65012,-13.853713,0.34088898,1
22,75.2739,-10.04031,0.24300209,1
23,76.88742,-9.466557,0.2018401,1
24,68.878365,-5.624872,0.1526854,1
25,72.42117,-6.640393,0.03056016,1
26,69.21635,-3.6690817,0.6751131,1
27,71.16124,-3.3306723,0.11575035,1
28,74.94508,-6.654513,0.45431703,1
29,77.242966,-6.819103,0.42396,1
30,74.955246,-4.4945064,0.019495992,1
31,76.29343,-3.6699798,0.15269776,1
32,57.63955,-1.7575531,0.8059102,1
33,60.348667,-1.2869962,0.5091425,1
34,57.34099,0.094211124,0.98028946,1
35,59.974045,0.69474405,0.9334776,1
36,63.416832,-1.355796,0.7805155,1
37,66.13665,-1.6025485,0.6705831,1
38,62.763054,1.0105312,0.6482813,1
39,65.51468,1.0606477,0.6202028,1
40,56.819794,2.259906,0.56736344,1
41,59.493023,2.6757343,0.9797115,1
43,59.125954,4.500859,0.48341018,1
44,62.16967,3.0741413,0.9597447,1
45,64.76709,3.668528,0.7357495,1
46,61.829876,5.1066103,0.99900913,1
47,64.41439,5.816557,0.8833547,1
48,69.164246,-1.7993277,0.6432125,1
49,71.1994,-0.7505956,0.52667886,1
50,68.06115,1.1062547,0.6997923,1
51,71.08058,0.96649295,0.7476085,1
53,77.6587,-1.8021518,0.013848783,1
54,73.05655,2.0055447,0.525096,1
55,76.85439,1.7615045,0.02181938,1
56,67.77791,3.6031547,0.80303395,1
57,70.32067,3.7615545,0.6376585,1
58,67.02467,6.1512794,0.8592823,1
59,70.00706,6.1895404,0.622479,1
60,73.21137,3.8223271,0.73910373,1
61,75.19506,4.6769657,0.3715551,1
62,72.43586,6.369378,0.6085794,1
63,75.32275,6.3473873,0.7814855,1
64,80.06729,-13.188456,0.7595634,1
65,81.908875,-13.071759,0.39907962,1
66,80.14608,-10.26521,0.51600504,1
67,82.15777,-10.083138,0.63207614,1
68,84.66946,-13.55733,0.34532034,1
69,86.85611,-13.32658,0.48668292,1
70,84.293915,-10.389504,0.3041741,1
71,86.43872,-10.123014,0.25973585,1
72,80.50403,-8.070774,0.09753205,1
73,81.71258,-7.1515613,0.21996404,1
74,79.16601,-3.3795905,0.06894665,1
75,81.6672,-4.035066,0.25425124,1
76,83.98569,-7.2891965,0.35257348,1
77,86.414505,-7.508683,0.53439325,1
78,84.35181,-4.0994825,0.45117918,1
79,86.357254,-4.2210608,0.39318156,1
80,88.93221,-13.562326,0.99111515,1
81,91.25287,-13.553384,0.8236185,1
82,88.71877,-10.345629,0.77857584,1
83,91.02275,-10.491592,0.80179524,1
84,93.008095,-13.438905,1.3199972,1
85,95.33632,-13.568758,0.7966187,1
86,92.974815,-10.557063,1.3368944,1
87,95.28496,-10.420577,0.9855483,1
88,88.71705,-7.22482,0.71222246,1
89,90.84803,-7.3341203,0.73657787,1
90,88.546555,-4.3061347,0.63365835,1
91,90.84213,-4.256691,0.7201722,1
92,93.14081,-7.239022,1.444574,1
93,95.30349,-7.354646,1.122261,1
94,93.158615,-4.292036,1.2785695,1
95,95.19446,-4.2587047,1.1468446,1
96,78.28917,-0.54265004,0.14778902,1
98,79.00169,2.142862,0.124513984,1
99,81.18493,2.3645332,0.36372697,1
100,84.923805,-2.5954988,0.0033884654,1
101,86.04091,-1.2434752,0.22342941,1
102,83.95359,1.1243064,0.021671848,1
103,86.48222,1.9064281,0.19677839,1
104,78.51432,4.507498,0.30643183,1
105,80.11891,4.7130322,0.14238366,1
106,77.23112,7.3211427,0.28666773,1
107,79.929115,7.305419,0.03659061,1
108,82.15642,5.402992,0.0041053887,1
109,85.510414,4.153023,0.48387232,1
110,82.591965,6.8878884,0.29421675,1
111,86.0796,7.3396153,0.18631022,1
